1,165.8,88.7,31.8,28.1,18.7,40.3,38.9,6.7,88.4,96.5
2,169.8,90.0,32.4,29.1,18.3,43.3,42.7,6.4,89.8,98.6
3,170.7,87.7,33.6,29.5,20.7,43.7,41.1,7.2,87.8,94.1
4,170.9,87.1,31.0,28.2,18.6,43.7,40.6,6.7,91.0,92.9
5,157.5,81.3,32.1,27.3,17.5,38.1,39.6,6.6,85.0,103.9
6,165.9,88.2,31.8,29.0,18.6,42.0,40.6,6.5,91.2,96.7
7,158.7,86.1,30.6,27.8,18.4,40.0,37.0,5.9,90.8,92.5
8,166.0,88.7,30.2,26.9,17.5,41.6,39.0,5.9,89.1,93.8
9,158.7,83.7,31.1,27.1,18.1,38.9,37.5,6.1,87.1,96.4
10,161.5,81.2,32.3,27.8,19.1,42.8,40.1,6.2,86.1,93.7
11,167.3,88.6,34.8,27.3,18.3,43.1,41.8,7.3,78.4,97.0
12,167.4,83.2,34.3,30.1,19.2,43.4,42.2,6.8,87.8,97.2
13,159.2,81.5,31.0,27.3,17.5,39.8,39.6,4.9,88.1,99.5
14,170.0,87.9,34.2,30.9,19.4,43.1,43.7,6.3,90.4,101.4
15,166.3,88.3,30.6,28.8,18.3,41.8,41.0,5.9,94.1,98.1
16,169.0,85.6,32.6,28.8,19.1,42.7,42.0,6.0,88.3,98.4
17,156.2,81.6,31.0,25.6,17.0,44.2,39.0,5.1,82.6,88.2
18,159.6,86.6,32.7,25.4,17.7,42.0,37.5,5.0,77.7,89.3
19,155.0,82.0,30.3,26.6,17.3,37.9,36.1,5.2,87.8,95.3
20,161.1,84.1,29.5,26.6,17.8,38.6,38.2,5.9,90.2,99.0
21,170.3,88.1,34.0,29.3,18.2,43.2,41.4,5.9,86.2,95.8
22,167.8,83.9,32.5,28.6,20.2,43.3,42.9,7.2,88.0,99.1
23,163.1,88.1,31.7,26.9,18.1,40.1,39.0,5.9,84.9,97.3
24,165.8,87.0,33.2,26.3,19.5,43.2,40.7,5.9,79.2,94.2
25,175.4,89.6,35.2,30.1,19.1,45.1,44.5,6.3,85.5,98.7
26,159.8,85.6,31.5,27.1,19.2,42.3,39.0,5.7,86.0,92.2
27,166.0,84.9,30.5,28.1,17.8,41.2,43.0,6.1,92.1,104.4
28,161.2,84.1,32.8,29.2,18.4,42.6,41.1,5.9,89.0,96.5
29,160.4,84.3,30.5,27.8,16.8,41.0,39.8,6.0,91.1,97.1
30,164.3,85.0,35.0,27.8,19.0,47.2,42.4,5.0,79.4,89.8
31,165.5,82.6,36.2,28.6,20.2,45.0,42.3,5.6,79.0,94.0
32,167.2,85.0,33.6,27.1,19.8,46.0,41.6,5.6,80.7,90.4
33,167.2,83.4,33.5,29.7,19.4,45.2,44.0,5.2,88.7,97.3